"Manufacturer Part Number","Digi-Key Part Number","Quantity","Customer Reference"
"TSR 2-2450N","1951-TSR2-2450N-ND","1","U2"
"MJ1-2503A","CP1-2503AM-ND","3","J4, J5, J6"
"RJHSE5080","664-RJHSE5080-ND","1","J2"
"B2B-XH-A","455-B2B-XH-A-ND","2","J1, J7"
"G5Q-1 DC12","Z221-ND","1","K1"
"54-00133","839-54-00133-ND","1","J9"
"B8B-XH-A","455-B8B-XH-A-ND","1","J3"
"PPPC101LFBN-RC","S7043-ND","1","J8"
"68000-102HLF","609-3500-ND","1","JP1"
"35PX470MEFC10X12.5","1189-1280-ND","1","C1"
"16ZLH470MEFC8X11.5","1189-1859-ND","1","C3"
"FG28X7R1H104KNT06","445-173588-1-ND","5","C2, C4, C10, C11, C12"
"SB140","1655-SB140CT-ND","2","D2, D3"
"IRF5305PBF","IRF5305PBF-ND","1","Q1"
"2N3904BU","2N3904FS-ND","1","Q2"
"PS1240P02BT","445-2525-1-ND","1","BZ1"
"MFR-25FBF52-1K","1.00KXBK-ND","10","R1, R13, R14, R15, R16"
"MFR-25FBF52-2K2","MFR-25FBF52-2K2-ND","1","R2"
"MFR-25FBF52-100K","100KXBK-ND","1","R3"
"MFR-25FBF52-330R","MFR-25FBF52-330R-ND","1","R6"
"MFR-25FBF52-220R","MFR-25FBF52-220R-ND","1","R4"
"MFR-25FBF52-10K","10.0KXBK-ND","4","R5, R10, R11, R12"
"5807","1528-5807-ND","1","MOD1"
"XHP-2","455-2266-ND","2","J1 mate, J7 mate"
"XHP-8","455-1902-ND","1","J3 mate"
"BXH-001T-P0.6","BXH-001T-P0.6-ND","11","XH harness contacts"
"SPC02SYAN","S9001-ND","1","JP1 shunt"
