"Manufacturer Part Number","Digi-Key Part Number","Quantity","Customer Reference"
"PPPC041LFBN-RC","S7037-ND","1","U2"
"MJ1-2503A","CP1-2503AM-ND","3","J4, J5, J6"
"RJHSE5080","664-RJHSE5080-ND","1","J2"
"B2B-XH-A","455-B2B-XH-A-ND","2","J1, J7"
"B8B-XH-A","455-B8B-XH-A-ND","1","J3"
"PPPC101LFBN-RC","S7043-ND","1","J8"
"68000-102HLF","609-3500-ND","1","JP1"
"MF-RHT200/32-2","118-MF-RHT200/32-2CT-ND","1","F1"
"MF-R075","MF-R075-ND","1","F2"
"MF-R050","MF-R050-ND","2","F3, F4"
"35PX470MEFC10X12.5","1189-1280-ND","1","C1"
"16ZLH220MEFCT16.3X11","1189-4157-1-ND","1","C3"
"16ZLH100MEFC5X11","1189-1148-ND","1","C5"
"100YXJ4R7M5X11","1189-1030-ND","1","C7"
"K104K15X7RF5TH5","BC1101CT-ND","10","C2, C4, C10, C11, C12, C13"
"P6KE18A-TP","P6KE18A-TPMSCT-ND","1","D1"
"1N5819-TP","1N5819-TPCT-ND","1","D2"
"FQP27P06","FQP27P06-ND","1","Q1"
"2N3904BU","2N3904FS-ND","2","Q2, Q3"
"CPT-1255C-090","102-3752-ND","1","BZ1"
"MFR-25FBF52-1K","1.00KXBK-ND","10","R1, R13, R14, R15, R16, R19"
"MFR-25FBF52-2K2","MFR-25FBF52-2K2-ND","2","R2, R6"
"MFR-25FBF52-100K","100KXBK-ND","2","R3, R7"
"MFR-25FBF52-220R","MFR-25FBF52-220R-ND","1","R4"
"MFR-25FBF52-10K","10.0KXBK-ND","1","R5"
"MFP-25BRD52-10K","10KADCT-ND","3","R10, R11, R12"
"XHP-2","455-2266-ND","2","J1 mate, J7 mate"
"XHP-8","455-1902-ND","1","J3 mate"
"BXH-001T-P0.6","BXH-001T-P0.6-ND","11","XH harness contacts"
"SPC02SYAN","S9001-ND","1","JP1 shunt"
"68000-104HLF","609-3248-ND","1","U2 module header"
